职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
地产销售助理,世联行,4-6K,中山市/南朗镇,06-29 刷新过,"['办公软件', '表格处理', '合同管理', '20-40 岁', '行政专员/助理']","
     国企背景、上市集团 、五险一金、专业培训
"
注塑部主管,中山市坚驼脚轮有限公司,8-10K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '注塑主管']",
安装主管,中山市坚驼脚轮有限公司,6-8K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '生产主管']",
五金主管,中山市坚驼脚轮有限公司,6-8K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '生产主管']",
平面设计员,高能照明,5-7K,中山市/三乡镇,06-29 刷新过,"['年龄不限', '平面设计/美工']","
"
SMT技工,山水电子,5-6.5K,广东/中山市,06-29 刷新过,"['年龄不限', 'SMT操作工']",
财务文员,中山市味丰食品有限公司,3.5-4.5K,中山市/五桂山街道,06-29 刷新过,"['年龄不限', '财务']","
    公司统一为员工购买五险；生日福利金；国家法定节假日休息；转正后有住房补贴及其他津贴。
"
安装电工,广东新环机电装备制造有限公司,5-7K,中山市/黄圃镇,06-29 刷新过,"['年龄不限', '电工']",
喷涂主管,Vmetal,8-10K,中山市/南朗镇,06-29 刷新过,"['年龄不限', '生产主管']","
    6天制、购买社保
"
核价工程师,中山市与鹿同行光电科技有限公司,8-12K,中山市/横栏镇,06-29 刷新过,"['年龄不限', '采购主管/经理']","
    每周下午茶，年轻化团队，上班时间：9:00-18:00，大小周
"
灯饰结构工程师,中山市与鹿同行光电科技有限公司,8-15K,中山市/横栏镇,06-29 刷新过,"['年龄不限', '灯饰结构师']","
    每周下午茶，年轻化团队，上班时间：9:00-18:00，大小周
"
物业-行政人事助理,迪兴实业,3.5-4.5K,中山市/东区街道,06-29 刷新过,"['年龄不限', '行政专员/助理']",
总助(高管)/董事长助理,彩格科技,8-15K,中山市/南朗镇,06-29 刷新过,"['年龄不限', '总助（高管）']","
    包吃（一天三餐）
"
机械绘图员,中山市天虹电机制造有限公司,5-6K,中山市/南头镇,06-29 刷新过,"['年龄不限', '机械设计']",
仓库管理员/仓管员,德厚建材,4-6K,中山市/南区街道,06-29 刷新过,"['年龄不限', '仓管员']","
    1月休4天2.试用期后购买社保3.包午餐
"
注塑主管,赛德沃,8-10K,中山市/三角镇,06-29 刷新过,"['年龄不限', '注塑主管']",
计划主管,中山德立洁具有限公司,10-15K,中山市/阜沙镇,06-29 刷新过,"['28-40 岁', '生产/营运']","
    入职五险一金，提供食宿，职务晋升，项目奖金；带薪年假；节假日福利等。
"
招商助理,上乘集团,5-7K,中山市/港口镇,06-29 刷新过,"['年龄不限', '地产招商专员']",
质量部经理,中山市鸿勋机械有限公司,8-10K,中山市/火炬区,06-29 刷新过,"['年龄不限', '品质经理']",
CNC操作工,中山市鸿勋机械有限公司,5-6K,中山市/火炬区,06-29 刷新过,"['年龄不限', 'CNC操作工']",
结构研发工程师（商照）,中山市万聚照明科技有限公司,9.5-12K,中山市/小榄镇,06-29 刷新过,"['结构工程师', '灯饰结构师', '灯饰设计', '结构研发', '机械设计', '年龄不限', '灯饰结构师']","
    结构工程师、灯饰结构师、灯饰设计、结构研发、机械设师
"
产品设计学徒,中山市劲鑫电器有限公司,3.5-6K,中山市/东凤镇,06-29 刷新过,"['年龄不限', '其他（家电制造）']","
    有良好的升职空间、公司设有优秀员工奖、带薪年假、员工福利、绩效奖金、团体旅游、春节返乡车费补贴、年底奖金。（购买社保）
"
京东天猫运营店长,HI-NA,5-7K,中山市/东凤镇,06-29 刷新过,"['电商店铺运营', '京东/天猫', '平台类目运营', '年龄不限', '电商运营']",
电商美工,HI-NA,5-7K,中山市/东凤镇,06-29 刷新过,"['阿里巴巴', 'PS', 'AI', 'DW', '年龄不限', '平面设计/美工']",
营销总监,中山优美优品家具有限公司,8-15K,中山市/南区街道,06-29 刷新过,"['年龄不限', '销售总监']","
    1、团队管理、销售体系打造、业绩目标达成2、股权分红3、外派培训学习、学历晋升
"
机加主管,中山市罗顿智能科技有限公司,8-15K,中山市/三乡镇,06-29 刷新过,"['CNC', '年龄不限', 'CNC编程']","
    工资高，福利好
"
高提成外贸,尚诚环保,4-6K,中山市/三角镇,06-29 刷新过,"['没经验可+提成', '环保业、市场大', '年龄不限', '外贸业务员']","
    发展空间大，欢迎可塑性大、有潜能的应届毕业学生应聘
"
综合办公室（文职）,中山菲达斯,4-6K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '文员']",
品质经理,中山市玛斯特展示制品有限公司,8-10K,中山市/板芙镇,06-29 刷新过,"['年龄不限', '品质经理']",
机修工,中山市日亮五金电器有限公司,6-8K,中山市/港口镇,06-29 刷新过,"['年龄不限', '机修工']",
机修工,炜丰电线电缆,5.5-7K,中山市/东凤镇,06-29 刷新过,"['年龄不限', '机修工']",
注塑师傅,广东科特有色金属制造有限公司,7-9K,中山市/黄圃镇,06-29 刷新过,"['年龄不限', '注塑工']",
计划专员/PMC主管,日合展示,6-8K,中山市/港口镇,06-29 刷新过,"['年龄不限', '生产计划/调度']",
业务跟单,日合展示,4-6K,中山市/港口镇,06-29 刷新过,"['年龄不限', '销售代表']",
研发工程师（商照）,中山市万聚照明科技有限公司,9-13K,中山市/小榄镇,06-29 刷新过,"['结构工程师', '灯饰结构师', '灯饰设计', '结构研发', '机械设计', '年龄不限', '灯饰结构师']","
    结构工程师、灯饰结构师、灯饰设计、结构研发、机械设师
"
总经理秘书,中山市优普卫浴有限公司,6-8K,中山市/港口镇,06-29 刷新过,"['年龄不限', '总助（高管）']",
仓库管理员/仓管员,汉仁科技,4.5-5.5K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '仓管员']","
    1、包吃（中、晚）餐；2、包住（1-2人）间；3、购买社保、商业团保；4、免费旅游、免费体检；5、奖金、长期服务奖；5、每月举行生日活动、工会不定期举行团体活动。
"
行政人事经理,健威五金,8-12K,中山市/五桂山街道,06-29 刷新过,"['年龄不限', '人力资源经理/主管']","
    公司环境优美，绿化率高，提供食宿，1人间宿舍，配热水器、空调、免费WIFI；购买社保，设全勤奖、工龄补贴、带薪年假、年终奖励、生日福利等，每年组织团体活动或旅游，表现优秀者年度可评优秀员工（干部）奖!
"
计划员,名门锁业,5-6K,中山市/东升镇,06-29 刷新过,"['25-40 岁', '生产计划/调度']","
    五险一金、节日福利、生日福利
"
产品结构工程师,广东立义科技股份有限公司,10-13K,中山市/南头镇,06-29 刷新过,"['年龄不限', '结构工程师']","
    包吃住 购买五险 年终奖 高温补贴等
"
产品结构工程师,华拓,8-12K,小榄镇/小榄周边,06-29 刷新过,"['年龄不限', '结构工程师']","
    现代化办公场所、年终奖、社会保险
"
电子硬件工程师,华拓,6-8K,中山市/火炬区,06-29 刷新过,"['年龄不限', '电子工程师']",
平面设计师,歌路华·家居,5-6K,中山市/南头镇,06-29 刷新过,"['年龄不限', '平面设计/美工']",
电子工程师,歌路华·家居,7-15K,中山市/南头镇,06-29 刷新过,"['年龄不限', '电子工程师']",
跟单文员,中山市尖端科技有限公,4.5-8K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '跟单员', '其他']",
五金杂工,志美电器,4-5.5K,中山市/南头镇,06-29 刷新过,"['年龄不限', '普工']",
外贸跟单/业务跟单,中山美图,5-6.5K,中山市/南朗镇,06-29 刷新过,"['23-35 岁', '外贸跟单']",
质量检验员,中山美图,5-7K,中山市/南朗镇,06-29 刷新过,"['QC', '测试员', 'IQC', '品检', 'QA', '23-40 岁', '质检员']","
    包吃包住，五险一金，单间套房带家电厨卫；提供质检方面的专业培训；有良好的内聘机遇，综合素质优者发展方向为质检组长-质量工程师-品质主管。
"
模具设计工程师,中山美图,9-11K,中山市/南朗镇,06-29 刷新过,"['25-40 岁', '模具设计师']","
    包住（配置空调热水wifi，带独立厨卫单间宿舍）；购买五险一金；月休4天；工作稳定，工作氛围良好；交通便利、环境优美。
"
结构工程师/结构设计,中山美图,9-13K,中山市/南朗镇,06-29 刷新过,"['creO', 'proE', '产品设计', '模具结构设计', '22-42 岁', '结构工程师']","
    五险一金保障；享受带厨卫家电的单间套房；有良好的内聘机遇；
"
CNC技术员,保友办公家具,6.5-8.5K,中山市/民众镇,06-29 刷新过,"['CNC', '数控', '年龄不限', 'CNC编程']","
    包吃住五险一金
"
工程技术员,华园光电,5-7K,中山市/小榄镇,06-29 刷新过,"['年龄不限', 'CAD绘图员']",
数据统计员,宝扇电器,5-5.5K,中山市/横栏镇,06-29 刷新过,"['年龄不限', '文员']",
人事专员,中山力高家具有限公司,4-4.5K,广东/中山市,06-29 刷新过,"['年龄不限', '人力资源专员']",
企业安全主任,中山市汉德机器人有限公司,7.5-10K,中山市/阜沙镇,06-29 刷新过,"['28-45 岁', '其他（专业服务）', ' 普通话-熟练', 'C1']",
线检员,中山市汉德机器人有限公司,5-5.5K,中山市/三角镇,06-29 刷新过,"['年龄不限', '品质员']",
IPQC质检员（南朗）,中山阿蓓亚软管有限公司,5-6.5K,中山市/南朗镇,06-29 刷新过,"['年龄不限', '质检员']",
PM,中山市富鸿齐电子有限公司,5-7K,中山市/火炬区,06-29 刷新过,"['23-40 岁', '生产跟单', ' 英语-良好']",
生产组长,科佰实,6-8K,中山市/横栏镇,06-29 刷新过,"['年龄不限', '生产组长']",
电商客服,NC,4-4.5K,中山市/南朗镇,06-29 刷新过,"['20-30 岁', '电商运营']",
人事专员,利和物业,4-5K,中山市/东区街道,06-29 刷新过,"['年龄不限', '人力资源专员']",
网络工程师,中山慧康医疗器械有限公司,6-7.5K,中山市/翠亨新区,06-29 刷新过,"['年龄不限', '网络安全']",
车间杂工,通迈金属,4-4.5K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '普工']",
质检员,通迈金属,5-7K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '质检员']",
生产主管/督导/领班/组长,广东宝莲灯照明科技有限公司,8-10K,中山市/横栏镇,06-28 刷新过,"['年龄不限', '生产主管']","
    对LED低压灯带，有生产管理经验，熟悉车间生产计划订单排产，生产过程中的不良品处理，车间员工人员工作安排、调动管理能力，对生车各类报表数据管理熟练。
"
3D绘图员,中山市浪一五金塑料制,5-5.5K,中山市/板芙镇,06-28 刷新过,"['年龄不限', '3D建模']",
绩效考核专员,景盛,5-6K,中山市/火炬区,06-28 刷新过,"['年龄不限', '人力资源专员']","
    包吃
"
销售经理,中山市迪美斯家具有限公司,3-8K,中山市/南区街道,06-28 刷新过,"['销售经理', '年龄不限', '业务员']","
    入职后有在职培训，公司不定期有下午茶餐，团建活动。
"
工程CAD绘图员,中山永捷机电设备有限公司,(面议)                        6-8K,中山市/三乡镇,06-28 刷新过,"['CAD绘图', '年龄不限', '其他（机械/设备）', 'C1']","
    五天八小时，包三餐，法定节假日、节假日福利、年终奖
"
会计主管,致简服装,6-8K,中山市/小榄镇,06-28 刷新过,"['年龄不限', '会计']","
    【福利介绍】1、公司有饭堂，包吃两餐。2、周末单休。3、日常活动：不定期举办拓展活动，聚餐K歌，旅游等多种不同类型活动，开心工作，快乐生活，为大家提供一个展示个人风采的舞台。
"
品质主管,飞亿达锁业,6-10K,中山市/小榄镇,06-28 刷新过,"['年龄不限', '品质主管']",
娱乐主播,博星,7-12K,中山市/火炬区,06-28 刷新过,"['娱乐主播', '网红主播', '才艺主播', '年龄不限', '主播']",
管理培训生（应届毕业生）,泰而沃照明,4-8K,中山市/横栏镇,06-28 刷新过,"['年龄不限', '外语翻译']","
    有专人培训上岗，发展空间大，包吃包住，逢周日休息。
"
报关录单员,通检服关,3.5-5K,火炬区/中山港,06-28 刷新过,"['录单员', '打单员', '报关打单', '报关文员', '年龄不限', '单证员']",
注塑组长,乐美达集团,7-9.5K,中山市/东升镇,06-28 刷新过,"['年龄不限', '生产主管']",
品质员主管,元造五金,6-8K,中山市/东凤镇,06-28 刷新过,"['18-45 岁', '品质主管']",
外贸跟单,FODA,4.5-8K,中山市/三角镇,06-28 刷新过,"['年龄不限', '跟单员', ' 英语-熟练']","
    社保、提成、旅游、下午茶、交通方便、包吃住
"
业务跟单,中山颖锋电脑绣花有限公司,3.5-6K,广东/中山市,06-28 刷新过,"['年龄不限', '跟单员']","
    公司福利：包吃两餐（中午和晚餐），全勤奖、满勤奖、住房补贴、节日礼物，带薪假期等
"
产业园（工业园）招商专员,中山市顶牛金属制品有限公司,8.5-11K,广东/中山市,06-28 刷新过,"['年龄不限', '物业项目经理']","
    沟通力佳，精通销售逻辑。
"
折弯工,中山世源家用电器有限公司,6-7.5K,中山市/小榄镇,06-28 刷新过,"['28-40 岁', '折弯工']",
薪酬绩效专员,广东汉普法务,5-6K,中山市/东区街道,06-28 刷新过,"['年龄不限', '人力资源专员']","
    1、央企控股公司，政府背书；大平台，业绩好，环境优；2、无裙带关系，同事关系纯粹，晋升公平公正；3、五险一金、补充医疗保；4、带薪年假、定期团建；高温补贴；5、企业文化：学习型文化、家文化。
"
服装跟单员,英卓服饰,5-7K,中山市/沙溪镇,06-28 刷新过,"['年龄不限', '跟单员']",
视频编辑,广东荣业食品有限公司,6-7K,中山市/黄圃镇,06-28 刷新过,"['22-45 岁', '影视策划']","
    包工作餐，社保，节日福利，带薪年假
"
注册税务师,广东信业,6-10K,中山市/东区街道,06-28 刷新过,"['年龄不限', '税务']",
注塑物料员,福瑞康,4.5-6K,中山市/火炬区,06-28 刷新过,"['年龄不限', '物料管理']",
人力资源总监,中山市澳多电子科技,10-15K,中山市/西区街道,06-29 刷新过,"['人力资源管理', '劳动关系', '年龄不限', '人力资源总监']",
人力行政部经理,星智科,5-6K,中山市/东凤镇,06-28 刷新过,"['年龄不限', '人力资源经理/主管']",
嵌入式软件工程师,现华（道锐）照明,15-25K,中山市/横栏镇,06-28 刷新过,"['年龄不限', '嵌入式开发']",
激光排版,中山市誉承灯饰有限公司,6-8K,广东/中山市,06-28 刷新过,"['激光排板', '激光设备调试', '各工序都', '年龄不限', '其他（灯饰制造）']","
    我司是灯饰自产自销，工资底薪加提成
"
品质文员,中山磐顺,4-5.5K,中山市/黄圃镇,06-27 刷新过,"['年龄不限', '其他（质控/安防）']",
机械设计储干（接受优秀应届生）,方泰科技,5-6K,中山市/翠亨新区,06-27 刷新过,"['年龄不限', '其他（机械/设备）']","
    五险一金带薪年假节日福利绩效奖金可提升为机械设计师
"
LED户外灯具结构工程师,广东亚明照明有限公司,8-15K,中山市/古镇,06-27 刷新过,"['年龄不限', '结构工程师']",
上下模调机领班,中山吉锐精密模具科技,7.5-9K,中山市/南朗镇,06-27 刷新过,"['28-45 岁', '技工']","
    公司包吃，包住，有夜班补助，全勤奖，购买社保，技术补贴，宿舍有空调
"
复合机调机师傅,福润德,6-9K,中山市/港口镇,06-27 刷新过,"['年龄不限', '钳工']","
    包食，住房补贴，节日福利，年终奖等
"
业务专员,唐风电器,6-10K,中山市/东凤镇,06-26 刷新过,"['年龄不限', '销售代表']","
    本公司专注于纯钛、316钛钢等高端茶壶的制造，负责国内茶叶市场、电商、礼品等渠道业务拓展与跟进！
"
电商运营主管,美尼亚,10-20K,顺德区/容桂,06-29 刷新过,"['年龄不限', '电商运营']",
