JobName,Name,Salary,City,Time
新媒体运营经理,中山优美优品家具有限公司,8-12K,中山市/南区街道,06-19 刷新过
外贸经理,中山优美优品家具有限公司,7-13K,中山市/南区街道,06-19 刷新过
教务招生老师,国际人才网,3-8K,中山市/东区街道,06-19 刷新过
电子工程师（电子镇流器）,国际人才网招聘执行,15-26K,广东/中山市,06-19 刷新过
售前售后,国际人才网,3-8K,中山市/东区街道,06-19 刷新过
亚马逊运营,国际人才网招聘执行,6-8K,中山市/沙溪镇,06-19 刷新过
运维工程师,国际人才网招聘执行,10-18K,广东/中山市,06-19 刷新过
PMC总监,得友鑫物流设备,15-25K,中山市/民众镇,06-19 刷新过
外贸业务应届生,国际人才网招聘执行,5-8K,中山市/小榄镇,06-19 刷新过
电子维修员,中山百川汇盈精密实业有限公司,(面议)                        5-6.5K,中山市/东区街道,06-19 刷新过
外贸业务员,中山优美优品家具有限公司,5-10K,中山市/南区街道,06-19 刷新过
SEO优化主管,国际人才网,8-12K,中山市/东区街道,06-19 刷新过
新媒体运营,中山优美优品家具有限公司,5-8K,中山市/南区街道,06-19 刷新过
品检员,索菲尼尔,5-6.5K,中山市/南头镇,06-19 刷新过
业务跟单,索菲尼尔,5-7K,中山市/南头镇,06-19 刷新过
销售代表,中山优美优品家具有限公司,5-10K,中山市/南区街道,06-19 刷新过
生产拉长,索菲尼尔,5-9K,中山市/南头镇,06-19 刷新过
销售业务员,Firefly,(面议)                        5-10K,中山市/东区街道,06-19 刷新过
外贸销售,Firefly,5-9K,中山市/东区街道,06-19 刷新过
PHP开发主管,国际人才网招聘执行,15-20K,广东/中山市,06-19 刷新过
产品结构工程师,Firefly,(面议)                        6-12K,中山市/东区街道,06-19 刷新过
外贸业务员,中山市中粮外贸公司,4-8K,中山市/石岐街道,06-19 刷新过
软件开发助理工程师,汉仁科技,10-15K,中山市/小榄镇,06-19 刷新过
来料检验员,中山市锵辉金属制品有限公司,4-6K,中山市/阜沙镇,06-19 刷新过
喷涂仓管,中山市锵辉金属制品有限公司,5.5-8K,中山市/阜沙镇,06-19 刷新过
注塑质检,中山市锵辉金属制品有限公司,4.5-7K,中山市/阜沙镇,06-19 刷新过
外贸跟单,加和五金,4-5K,中山市/南朗镇,06-19 刷新过
仓管员,中山市锵辉金属制品有限公司,4-8K,中山市/阜沙镇,06-19 刷新过
外贸业务/跟单,韩加电器,7-11K,中山市/南头镇,06-19 刷新过
娱乐主播,博星,5.5-10K,中山市/火炬区,06-19 刷新过
外贸业务,中千智享,6-12K,中山市/东凤镇,06-19 刷新过
娱乐主播,博星,5-10K,中山市/火炬区,06-19 刷新过
抖音主播,博星,5-10K,火炬区/张家边,06-19 刷新过
抖音主播,博星,5.5-100K,中山市/火炬区,06-19 刷新过
娱乐聊天主播,博星,5-10K,中山市/火炬区,06-19 刷新过
娱乐主播,博星,7-12K,中山市/火炬区,06-19 刷新过
质检员,中山市维美适金属制品,5-7K,中山市/坦洲镇,06-16 刷新过
跨境运营助理,国际人才网招聘执行,4-8K,广东/中山市,06-19 刷新过
车间文员兼行政,中山市共震科技有限公司,5.5-6.5K,中山市/古镇,06-19 刷新过
仓库员,中山市共震科技有限公司,6-6.5K,中山市/古镇,06-19 刷新过
CAD设计/制图,中山市唯一精密智能装备有限公司,5-7K,中山市/火炬区,06-19 刷新过
数控车床技工,中山市唯一精密智能装备有限公司,6.5-11K,中山市/火炬区,06-19 刷新过
助理工程师,固美特五金,6-8K,中山市/小榄镇,06-19 刷新过
外贸业务,东菱电源,8-15K,中山市/横栏镇,06-19 刷新过
CAD绘图员,中山科勒卫浴有限公司,5-6K,中山市/火炬区,06-19 刷新过
外贸业务员,1stshine,(面议)                        5-7K,中山市/横栏镇,06-19 刷新过
仓管员,乐可多制锁,4.5-6K,中山市/小榄镇,06-19 刷新过
冲压模具钳工,乐可多制锁,5-7K,中山市/小榄镇,06-19 刷新过
外贸跟单,韩加电器,6-10K,中山市/南头镇,06-19 刷新过
注塑小组长,吉美公司,5-7K,中山市/板芙镇,06-19 刷新过
模具师傅,中山市坚驼脚轮有限公司,6-8K,中山市/小榄镇,06-19 刷新过
质量检验员,中山美图,5-7K,中山市/南朗镇,06-19 刷新过
IQC,合创医疗器械有限公司,4-6K,中山市/翠亨新区,06-19 刷新过
分切机长,BEST,6.5-9K,中山市/东升镇,06-19 刷新过
大客户销售,伟山,5.5-11K,中山市/小榄镇,06-19 刷新过
激光机电脑排版操作员,华盛家具集团,4.5-6K,中山市/小榄镇,06-19 刷新过
保安,岐景厨房设备制造,2-4K,中山市/东区街道,06-19 刷新过
售后支持工程师,广东嘉成照明实业股份有限公司,4.5-6K,中山市/小榄镇,06-19 刷新过
管理培训生（应届毕业生）,泰而沃照明,4-8K,中山市/横栏镇,06-19 刷新过
电子工程师助理,中山浩明光电,4.5-5.5K,小榄镇/小榄城轨站,06-18 刷新过
招商经理/主管,RSL,(面议)                        8-10K,广东/中山市,06-19 刷新过
质检员,中山市唯一精密智能装备有限公司,4.5-8K,中山市/火炬区,06-19 刷新过
焊工,中山市唯一精密智能装备有限公司,4.5-7K,中山市/火炬区,06-19 刷新过
电话销售 -五险一金,国际人才网,3-8K,中山市/东区街道,06-19 刷新过
销售跟单,广东九和新电器科技有限公司,(面议)                        4-6K,中山市/阜沙镇,06-19 刷新过
物业电工,RSL,4-5K,中山市/横栏镇,06-19 刷新过
市场专员,金福建设,5-10K,中山市/石岐街道,06-19 刷新过
外贸业务员,翼高,(面议)                        10-20K,中山市/西区街道,06-19 刷新过
仓库文员/仓管文员,翼高,3.5-4K,中山市/西区街道,06-19 刷新过
销售经理,东菱电源,6-15K,中山市/横栏镇,06-19 刷新过
外贸跟单员,1stshine,(面议)                        4-6K,中山市/横栏镇,06-19 刷新过
调度助理,永达会计,3-4K,中山市/西区街道,06-19 刷新过
人事经理,广东镖臣防盗设备有限公司,(面议)                        10-12K,中山市/小榄镇,06-19 刷新过
模具主管,隆丰脚轮,9-13K,中山市/小榄镇,06-19 刷新过
生产统计,中山百川汇盈精密实业有限公司,5-6K,中山市/东区街道,06-19 刷新过
冲压车间主管,乐可多制锁,6-9K,中山市/小榄镇,06-19 刷新过
冲压工,乐可多制锁,4-7K,中山市/小榄镇,06-19 刷新过
跟单员,香香食品,4-6K,中山市/板芙镇,06-19 刷新过
保安,荣昌,4-6K,广东/中山市,06-19 刷新过
跟单,荣昌,4-6K,广东/中山市,06-19 刷新过
