序号,标题,房屋详细信息,总价,单价
1,满五唯一，无抵押，无户口，附带顶楼露台阳光房,4室2厅 | 191.1平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,190,"9,943元/平"
2,此房满五年花园式小区物业费低，两卧朝南， 中间楼层,2室1厅 | 81.81平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,80,"9,779元/平"
3,龙跃时代家园 多层大三房  采光好 可商贷,3室2厅 | 150.6平米 | 南 北 | 其他 | 低楼层(共7层)  | 平房,141,"9,363元/平"
4,康桥品质楼盘 精装修一天未住  中间楼层,3室2厅 | 121.01平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,133,"10,991元/平"
5,财政局家属院 多层步梯带露台 南北通透大三房,3室2厅 | 164.91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,238,"14,433元/平"
6,契税满二年，全款房，高楼层，视野采光绝绝子,3室2厅 | 124.9平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,165,"13,211元/平"
7,永威高品质改善小区  中间好楼层  精装小三房,3室2厅 | 89.3平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,117,"13,102元/平"
8,带院30平 优质通透两房 满五唯一 无贷款 另带地下室,2室2厅 | 92.09平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,95,"10,316元/平"
9,精装修，朝南大两房，客厅大阳台落地窗,2室2厅 | 95.65平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,210,"21,956元/平"
10,婚房装修 双气精装修 全天采光,2室2厅 | 72.85平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,101,"13,865元/平"
11,洋房顶层复式，户型好，采光好，业主急售,4室1厅 | 142.8平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,175,"12,255元/平"
12,理想名家 3室2厅 东 东南,3室2厅 | 100.59平米 | 东 东南 | 精装 | 低楼层(共18层)  | 板塔结合,65,"6,462元/平"
13,地铁口 南北格局 中间楼层 视野宽阔 交通便利！,3室2厅 | 126.57平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,113,"8,928元/平"
14,三环内 精装朝南三房，采光视野无遮挡，装修保持较好,3室2厅 | 89.99平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,119.6,"13,291元/平"
15,三环内地铁口，两梯三户小高层，南北通透，不临路,3室2厅 | 102.96平米 | 南 北 | 简装 | 高楼层(共15层)  | 板楼,108,"10,490元/平"
16,精装修，满五年唯一，楼层高，采光好。,3室2厅 | 88.05平米 | 南 | 精装 | 26层  | 板塔结合,101.8,"11,562元/平"
17,琴海花苑 精装 双气 通透三房 满五唯一 多层公摊小,3室1厅 | 94.72平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,122,"12,881元/平"
18,龙湖旁，低密电梯小三房，精装。,3室2厅 | 91.66平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,112,"12,220元/平"
19,满五唯一 低楼层 温馨小3房    诚心出售,3室1厅 | 70.15平米 | 南 北 | 精装 | 6层  | 板楼,42.5,"6,059元/平"
20,中间楼层 精装修 领包入住，业主自己解压。,3室1厅 | 88.7平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,67,"7,554元/平"
21,好楼栋位置，税费少，随时看房，业主售房置换,3室1厅 | 88.4平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,87,"9,842元/平"
22,为数不多四房户型，中高楼层，采光视野好，诚心出售。,4室2厅 | 142.72平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,435,"30,480元/平"
23,临河而居 小初连上 交通方便 配套成熟 诚心出售,3室2厅 | 91.02平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,95,"10,438元/平"
24,航海路 滨河名家 多层三楼 带50平露台 南北通透三房,3室2厅 | 113平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,131,"11,593元/平"
25,银苑社区 3室2厅 北 南,3室2厅 | 108.32平米 | 北 南 | 简装 | 低楼层(共7层)  | 板楼,95,"8,771元/平"
26,此房两梯四户的小高层，中间楼层，满五唯一,3室2厅 | 87.49平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,112,"12,802元/平"
27,品质小区 精装三房 小高层 诚心出售,3室2厅 | 90.08平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,133,"14,765元/平"
28,纯洋房社区，不临街不临路，位置好，毛坯   诚心卖,3室2厅 | 88.42平米 | 东 | 毛坯 | 低楼层(共8层)  | 板塔结合,120,"13,572元/平"
29,交行家属院  多层中间楼层大三房   采光好 可商贷,3室2厅 | 126.09平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,140,"11,104元/平"
30,二环内 2020年的次新房有车位 中楼层 大三房 南北通透,3室2厅 | 133.19平米 | 南 北 | 简装 | 高楼层(共34层)  | 板塔结合,180,"13,515元/平"
31,精装修两室朝南 客厅朝西 看房方便地铁口 交通方便。,3室2厅 | 139.3平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,158,"11,343元/平"
32,龙湖外国语湿地公园旁中间楼层大三房,3室1厅 | 126.84平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,87,"6,860元/平"
33,满五唯一  东风渠  圣菲城  三加一户型  诚心出售,3室2厅 | 137.65平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,245,"17,799元/平"
34,翰林国际孔园  纯南户 视野好 全款毛坯房 诚心卖,2室2厅 | 88.64平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,95,"10,718元/平"
35,三环地铁口，满五唯一，多层一楼，适合居住，出行方便,2室2厅 | 96.73平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,97,"10,028元/平"
36,在郑州均价4000多买两房不在是梦，此房源满足您的想象,2室1厅 | 68.06平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,29.8,"4,379元/平"
37,业主诚心出售，精装修，近地铁，新社区，税费少,3室2厅 | 113.4平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,89,"7,849元/平"
38,精装修，公积金贷款，近地铁，万科品质物业小区,3室1厅 | 88.32平米 | 西 北 | 其他 | 高楼层(共34层)  | 板塔结合,102,"11,549元/平"
39,金科城一期 三开间朝南三居室 楼层采光好,3室2厅 | 88.15平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,162,"18,378元/平"
40,美景菩提 新装修 南户88平三房诚心出售,3室2厅 | 87.5平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,136,"15,543元/平"
41,永威品质小区 自己的物业 经典四叶草户型,4室2厅 | 169.14平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 塔楼,230,"13,599元/平"
42,精装修拎包入住，全天采光无遮挡，无抵押无贷款,3室2厅 | 118.77平米 | 南 西南 | 精装 | 高楼层(共32层)  | 板塔结合,186,"15,661元/平"
43,满两年，户型合理，南北通 自住装修，业主诚意出售,3室1厅 | 88.25平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,106.5,"12,068元/平"
44,中原东路78号院 3室2厅 南,3室2厅 | 123.79平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,248,"20,034元/平"
45,央企开发 地铁口 随时看房 业主着急卖,3室1厅 | 87.59平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,110,"12,559元/平"
46,陇海路南关街 兴商公寓 3楼 70年产权住宅 2004年,2室1厅 | 60.61平米 | 东 | 精装 | 中楼层(共7层)  | 板塔结合,45,"7,425元/平"
47,此房是南户型两室两厅方正无浪费户型,2室1厅 | 88.37平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,115.5,"13,071元/平"
48,清水苑四房，户型方正，南北通透，看房有钥匙,4室2厅 | 155.75平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,210,"13,484元/平"
49,伊河路57-101号 2室1厅 南,2室1厅 | 61.65平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,40,"6,489元/平"
50,出门一号线地张口，金源精典两房，户型好，适合居住,2室1厅 | 73.91平米 | 北 | 其他 | 低楼层(共13层)  | 板塔结合,79,"10,689元/平"
51,月季公园旁，大三房，双气，单价九千多，看房有钥匙,3室2厅 | 132.45平米 | 南 北 | 简装 | 低楼层(共28层)  | 板塔结合,123,"9,287元/平"
52,户型方正、业主诚心出售随时签约,3室2厅 | 116.78平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,99.9,"8,555元/平"
53,四月天小区，电梯四室，无贷 唯一  看房方便,4室2厅 | 152.91平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,189,"12,361元/平"
54,双地铁口 南北通透  双卫双阳台 精装修 中间楼层,3室2厅 | 138.31平米 | 北 南 | 精装 | 中楼层(共33层)  | 板塔结合,155,"11,207元/平"
55,亚星盛世广场，环境优美，宛如城市的天然氧吧。,2室2厅 | 98.86平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,39.9,"4,037元/平"
56,上街区成熟社区公园里的家出行方便,2室1厅 | 107.77平米 | 东 | 精装 | 中楼层(共23层)  | 板塔结合,49.5,"4,594元/平"
57,满五的大两室 业主目前急售 亚新物业,2室2厅 | 81.36平米 | 南 北 | 精装 | 高楼层(共15层)  | 板塔结合,75,"9,219元/平"
58,精装修，两梯四户，中间好楼层，标准朝南两房户型,2室2厅 | 87.71平米 | 东 南 | 精装 | 33层  | 板塔结合,119,"13,568元/平"
59,地铁口简装两房 电梯洋房社区 绿化好 居住舒适,2室2厅 | 88.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,45,"5,107元/平"
60,悦府海棠 小三房 好楼层 采光好 地铁口,3室2厅 | 89.35平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,59,"6,604元/平"
61,业主急售！毛坯房！朝南户型，大四室！,4室2厅 | 130.4平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,220,"16,872元/平"
62,此房满两年 税费低 业主诚心急售 随时看房,3室2厅 | 87.17平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,154.9,"17,770元/平"
63,地铁口双卫精装南北户型大三房户型方正采光好，楼层好,3室2厅 | 114.96平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,142,"12,353元/平"
64,双地铁   得房率高   业主诚心出售，看房方便,2室2厅 | 88.97平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,95,"10,678元/平"
65,小一室，房子诚信出，看房有钥匙比较方便,1室0厅 | 28.85平米 | 东 | 其他 | 低楼层(共6层)  | 塔楼,39,"13,519元/平"
66,满五唯一 东南两居 拎包入住 文三 四十七中,2室1厅 | 82.3平米 | 东南 | 精装 | 高楼层(共22层)  | 塔楼,145,"17,619元/平"
67,边户小三房 南北通透 眺望东风渠,3室2厅 | 90.11平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,121,"13,429元/平"
68,省直小区，多层2楼， 小区停车方便， 双气,3室1厅 | 87.3平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,104,"11,913元/平"
69,精装修拎包入住   看房方便   好楼层  出行方便,2室1厅 | 84.51平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,49.8,"5,893元/平"
70,业主诚心出售，精装修，116平103万，随时看房,3室1厅 | 116.07平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,103,"8,874元/平"
71,法兰原著 3室1厅 南 北,3室1厅 | 121.72平米 | 南 北 | 简装 | 高楼层(共20层)  | 板楼,88,"7,230元/平"
72,步梯好楼层，楼层好，户型好，采光好,3室2厅 | 125.45平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,75,"5,979元/平"
73,精装修两居 满两年 小高层 拎包入住,2室1厅 | 87.88平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,112,"12,745元/平"
74,满五唯一，中间楼层，采光充足，诚心出售,3室2厅 | 99.1平米 | 东 南 北 | 简装 | 高楼层(共34层)  | 板塔结合,105,"10,596元/平"
75,雅居乐方正大四房！四中旁 业主急售 产权清晰随时过户,4室2厅 | 155.12平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,120,"7,736元/平"
76,大河春天b区  双气小高层  精装大三室   全名户型,3室2厅 | 142.76平米 | 南 | 简装 | 11层  | 板楼,165,"11,558元/平"
77,地铁口   户型好   南北通透,3室2厅 | 92.05平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,107,"11,625元/平"
78,此房楼层好 采光视野好 契税满二，原值高基本没个税,3室2厅 | 89.61平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,115,"12,834元/平"
79,火车站西广场 三楼 两室一厅 南北通透户型 急售,2室1厅 | 58.53平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,45,"7,689元/平"
80,地铁口 文三 47，北三环花园路 朝南 好楼层精装一室,1室1厅 | 51.25平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,56.8,"11,083元/平"
81,泰成悦府，毛坯好楼层，采光好，,3室2厅 | 126平米 | 西 | 毛坯 | 中楼层(共32层)  | 板塔结合,80.5,"6,389元/平"
82,郑大旁地铁口、满五唯一、双气精装修小三房,3室2厅 | 87.86平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,107,"12,179元/平"
83,汝河小区 双气两房 中间楼层 采光好 业主诚心出售,2室1厅 | 52.89平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,30,"5,673元/平"
84,亚星望江居临门三房 全新未住过 婚房 看房方便,3室2厅 | 105.23平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,128,"12,164元/平"
85,地铁口郑大旁！万科品质精装三居 靠谱出售 随时看房,3室2厅 | 85.06平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,103,"12,110元/平"
86,管外  大三房  错过拍大腿！！！,3室2厅 | 141.48平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,217,"15,338元/平"
87,双气社区人车分流  精装朝南 满五年 唯一 中间楼层,3室2厅 | 88.55平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,123,"13,891元/平"
88,人车分流，小区优质小三房  ！,3室2厅 | 89.6平米 | 北 | 精装 | 高楼层(共33层)  | 板塔结合,148,"16,518元/平"
89,业主自住精装修 南面是洋房 无遮挡采光好 有房本,2室2厅 | 88.57平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,76,"8,581元/平"
90,国龙二期 5个阳台 带车位 业主诚心,4室2厅 | 167.44平米 | 西 | 精装 | 低楼层(共31层)  | 板楼,375,"22,397元/平"
91,中间楼层，采光好，满五唯一，中间楼层，诚心出售,3室2厅 | 89.96平米 | 西南 | 精装 | 低楼层(共34层)  | 板楼,130,"14,451元/平"
92,西流湖畔 精装 南北通透 洋房社区 带车位,3室2厅 | 135.04平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,178,"13,182元/平"
93,英协路  商城路 04年双气二楼通透三房 满五年 无贷款,3室2厅 | 121.04平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,138,"11,402元/平"
94,二环边 地铁口 满五唯一 无抵押 南北通透 中间楼层,3室2厅 | 141.67平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,120,"8,471元/平"
95,地铁六号线。小区环境优美。人车分流。中间楼层采光,3室2厅 | 104.88平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,56,"5,340元/平"
96,金税小区 5室3厅 南,5室3厅 | 210平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,70,"3,334元/平"
97,精装，大平层，新房子没有入住过，房东去外地发展,5室2厅 | 306.04平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,290,"9,476元/平"
98,紫荆山瑞园2号楼 地暖50万精装双卫大三房 巴中有钥匙,3室2厅 | 152.84平米 | 南 北 | 精装 | 26层  | 板楼,409,"26,761元/平"
99,1号线14号线地铁口，精装三房，2018年，人车分流,3室2厅 | 117.55平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,145,"12,336元/平"
100,二环边，一梯一户，纯毛坯，无抵押,3室2厅 | 137.64平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,99,"7,193元/平"
101,此房南北通透，低楼层，看房方便 诚心出售,2室1厅 | 56.47平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,153,"27,095元/平"
102,契税满二 税少 楼层好 视野宽阔 采光充足,3室2厅 | 108.21平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,105,"9,704元/平"
103,央企保利人车分流通透标准91平小 没有贷款 三室好楼层,3室2厅 | 91.47平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,132,"14,431元/平"
104,店长推荐，次新社区，满五唯一，业主诚心,3室1厅 | 140.84平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,386,"27,407元/平"
105,正商品质 经典大三房 小区绿化高 业主诚心出售,3室2厅 | 130.7平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,172,"13,160元/平"
106,北龙湖真正的别墅   地铁4号线龙源一街站  公园搬回家,5室2厅 | 238.97平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,368,"15,400元/平"
107,带电梯6+7复式 有露台  精装70万左右 不临路 不临街,6室3厅 | 185.44平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,355,"19,144元/平"
108,御府三号 3室2厅 南 北,3室2厅 | 134.01平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,140,"10,447元/平"
109,光大银行家属院 标准三房 一梯两户 刚装修两年,3室1厅 | 88.38平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,131,"14,823元/平"
110,绿城百合花园  观景三室  毛坯房可自由装修,3室2厅 | 135.75平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 塔楼,105,"7,735元/平"
111,金水北，地铁口，拎包住的好房子,3室2厅 | 108.01平米 | 西南 | 精装 | 中楼层(共25层)  | 板塔结合,122,"11,296元/平"
112,地铁口 双气次新小区 总高17层两梯三户近学X 未来可期,3室1厅 | 86.71平米 | 南 西北 北 | 毛坯 | 高楼层(共17层)  | 板楼,109,"12,571元/平"
113,临河而居 全款过户快 中间楼层 精装 配套成熟,3室2厅 | 88.48平米 | 南 | 精装 | 中楼层(共35层)  | 板楼,102,"11,529元/平"
114,东润城 三开间朝南得房率高采光无忧 随时可以看房。,3室2厅 | 85.8平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,78,"9,091元/平"
115,满五唯一，国风宋韵 改善社区 稀 有边户 诚心出售,3室2厅 | 122.91平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,115,"9,357元/平"
116,低楼层可以贷款三房，地铁2号线和5号线，看房方便,3室2厅 | 94.05平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,85,"9,038元/平"
117,此房满五唯一，南北通透格局，采光好无遮挡。,3室2厅 | 108.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,52.5,"4,832元/平"
118,8层电梯洋房，东边户，采光充足，成交快,3室2厅 | 134.71平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,173,"12,843元/平"
119,锦艺城80平 精装2居室 地铁1号线和5号线 交通便利,2室1厅 | 79.72平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,98,"12,294元/平"
120,金帝城 大三室，南北通透，满五年。看房方便，,3室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,75,"5,556元/平"
121,房屋新，好楼层楼层，采光好，适合每个年龄段居住。,2室2厅 | 88.91平米 | 南 | 精装 | 中楼层(共19层)  | 塔楼,120,"13,497元/平"
122,精装边户，拎包即住，三面采光，通风采光更好精装边户,3室2厅 | 121.66平米 | 西 | 精装 | 中楼层(共31层)  | 板楼,95,"7,809元/平"
123,环境优美，视野宽阔，阳光充足，价格可谈,3室1厅 | 89.79平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,57,"6,349元/平"
124,精装三室  满五唯一  家具家电齐全 拎包入住！,3室1厅 | 87.61平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,58.9,"6,723元/平"
125,南北通透户型，2013年建成，双地铁口,3室1厅 | 126.8平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,189,"14,906元/平"
126,浩创奥园 3室2厅 南,3室2厅 | 100.73平米 | 南 | 简装 | 中楼层(共25层)  | 塔楼,62.8,"6,235元/平"
127,诚心出售，税少，楼层佳 出行便利 大三房，随时看房,3室2厅 | 125.25平米 | 西南 | 简装 | 26层  | 塔楼,123,"9,821元/平"
128,此房满五年，南北透通，楼层好，采光充足配套设施齐全,3室2厅 | 130.08平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,355,"27,291元/平"
129,板楼2层，看房有钥匙，户型方正，公摊小，有万达广场,3室1厅 | 57.33平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,36,"6,280元/平"
130,此房通透，全明户型 格局好，，您的优选！,2室1厅 | 65.72平米 | 南 西南 | 精装 | 中楼层(共34层)  | 板塔结合,72,"10,956元/平"
131,和昌盛世城邦洋房 满五 随时看房 业主诚售,3室2厅 | 129.45平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,85,"6,567元/平"
132,锦艺城低楼层两房，1994年可贷款,2室1厅 | 60.85平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,50,"8,217元/平"
133,锦艺旁    1楼   多层      交通方便   公摊少,2室1厅 | 54.2平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,49,"9,041元/平"
134,公园旁 新建小  学一路之隔 精装三室 通透户型,3室2厅 | 119.29平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,59,"4,946元/平"
135,大溪地七号院 电梯洋房 好楼层 价格美,3室2厅 | 118.7平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,80,"6,740元/平"
136,客厅带阳台 无贷款 自住婚房装修 想省事的家人看过来,2室2厅 | 89.64平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,122,"13,610元/平"
137,永丰乐城幸福里119平，纯边户大3房，好楼层，诚心出售,3室2厅 | 119.03平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,83,"6,974元/平"
138,高新万达旁  毛坯两房   满五唯一  税费少,2室1厅 | 73.62平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,90,"12,225元/平"
139,通和盛世西院 3室2厅 南 北,3室2厅 | 108.86平米 | 南 北 | 精装 | 26层  | 板塔结合,118,"10,840元/平"
140,生活便利，出行高效，人车分流，万科品质小三房。,3室1厅 | 89.23平米 | 西北 北 | 精装 | 中楼层(共33层)  | 板塔结合,105,"11,768元/平"
141,学府旁 品质双气好楼层 二次装修大三房 税费少,3室2厅 | 127.67平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,210,"16,449元/平"
142,华南城中园 精装三房两厅两卫 拎包入住,3室2厅 | 113.31平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,80.9,"7,140元/平"
143,一江弘城简装三室采光好方正户型出售,3室1厅 | 106.05平米 | 东 | 精装 | 中楼层(共18层)  | 板楼,75,"7,073元/平"
144,出门儿童公园胖，5号线 地铁，世纪联华双气两房,2室1厅 | 56.04平米 | 北 | 精装 | 中楼层(共33层)  | 板楼,69,"12,313元/平"
145,康桥品质 全屋定制 拎包入住精致三房 业主诚意出售,3室2厅 | 86.22平米 | 南 北 | 精装 | 33层  | 板楼,70,"8,119元/平"
146,精装修，视野好，装修花了十几万，南北通透，,3室2厅 | 144.22平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,116,"8,044元/平"
147,141平 南北通三房145万 诚心卖,3室2厅 | 140.79平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,145,"10,300元/平"
148,农业路金二环地铁口三房，满五省税65平业主诚心出售,3室1厅 | 65.4平米 | 南 北 | 简装 | 5层  | 板楼,39,"5,964元/平"
149,中州大道北三环 11层小高层 三卧室朝南,3室2厅 | 114.57平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,124,"10,824元/平"
150,新县城精装三房，全新装修新房入住不满两个月。,3室2厅 | 112.8平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,99.99,"8,865元/平"
