序号,标题,房屋详细信息,总价,单价
151,布局合理，户型通透，舒适两房，采光好 临地铁一号线,2室1厅 | 55.16平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,36,"6,527元/平"
152,福泽家园    电梯双气   精装小3室  可拎包入住,3室2厅 | 94.04平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,49.9,"5,307元/平"
153,广武路演武路口永泰花园多层3楼精装3室未入住有天然气,3室2厅 | 115.13平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,53.5,"4,647元/平"
154,泰成悦府稀有边户三室两厅两卫精装,3室2厅 | 113.31平米 | 东 南 | 精装 | 低楼层(共32层)  | 板塔结合,83,"7,326元/平"
155,此房装修好  契税满二，原值高基本没个税 采光好,3室2厅 | 89.99平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,128,"14,224元/平"
156,精装修房子  楼层好  东边户 电梯双气,3室2厅 | 100.59平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,68,"6,761元/平"
157,满五唯一，户型方正，地暖入户，配套成熟,3室2厅 | 88.2平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,118,"13,379元/平"
158,五号线地铁口，双气，小户型，南户，满五唯一,1室1厅 | 56.86平米 | 南 | 其他 | 低楼层(共16层)  | 板塔结合,46,"8,091元/平"
159,建业品质 象湖旁  郑开边  146平方正精装大三房,3室2厅 | 145.93平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,140,"9,594元/平"
160,一楼带院，南北通透三房，精装修，全新电器，拎包住,3室2厅 | 101.81平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,135,"13,260元/平"
161,地铁口|大三房|带北侧平台 新田360旁南北通透随时看房,3室2厅 | 122.01平米 | 南 北 | 其他 | 低楼层(共27层)  | 塔楼,178,"14,589元/平"
162,双地铁口，精装修南方正大四室，诚心出售,4室1厅 | 142.26平米 | 东南 | 其他 | 高楼层(共33层)  | 板楼,160,"11,248元/平"
163,航海路上二环内 次新小区 金地开发 人车分流 诚心出售,3室2厅 | 96.86平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,149,"15,384元/平"
164,大阳台 好位置 好楼层 诚心卖 无抵押,2室2厅 | 97.15平米 | 南 | 其他 | 32层  | 板楼,175,"18,014元/平"
165,宋砦小区三号院 中楼层 均价低 随时看房,3室2厅 | 129.87平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,86,"6,623元/平"
166,南北户型，采光充足，小区配套齐全，公园，健身器材,2室1厅 | 79.17平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,58,"7,327元/平"
167,地铁口，满五唯一，配套全 业主诚心,1室0厅 | 41.85平米 | 南 | 简装 | 中楼层(共26层)  | 塔楼,32,"7,647元/平"
168,外国语牧歌 南北通透大四房 随时看房,4室2厅 | 167.49平米 | 北 南 | 简装 | 高楼层(共30层)  | 板塔结合,153,"9,135元/平"
169,小区中间的 位置一梯一户，品质上档次，动静分区,3室1厅 | 133.85平米 | 南 北 | 毛坯 | 34层  | 板楼,98,"7,322元/平"
170,长盛广场两室，成套住宅，满五唯一，好楼层,2室1厅 | 72.96平米 | 西 | 简装 | 中楼层(共19层)  | 塔楼,47.5,"6,511元/平"
171,满五年唯一有钥匙 中间层朝东向采光好,1室1厅 | 56.07平米 | 东 | 简装 | 中楼层(共25层)  | 板塔结合,50,"8,918元/平"
172,SOHO广场 1室0厅 西南,1室0厅 | 42.81平米 | 西南 | 精装 | 高楼层(共21层)  | 塔楼,29,"6,775元/平"
173,海马公园D区 2室1厅 西北,2室1厅 | 88.46平米 | 西北 | 精装 | 高楼层(共33层)  | 板塔结合,190,"21,479元/平"
174,锦尚新城 一楼带院 种菜养花可美了,3室1厅 | 130.46平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼,49,"3,756元/平"
175,满五唯一，看房方便，中间楼层.业主急卖,3室1厅 | 67.37平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,45,"6,680元/平"
176,郑东新区永威品质 毛坯 园林小区 电梯入户，诚心出售,4室2厅 | 172.17平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 塔楼,220,"12,779元/平"
177,地铁1号线 康桥物业 户型方正 配套成熟 业主诚售,3室1厅 | 100.35平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,116,"11,560元/平"
178,此房满五唯一，i交通便利，配套齐全，一楼带院，,3室2厅 | 119.99平米 | 西 | 简装 | 低楼层(共6层)  | 暂无数据,52.9,"4,409元/平"
179,宇通家属院通透舒适两居室 高楼层 多层洋房带电梯,2室2厅 | 68.49平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,75,"10,951元/平"
180,纯纯毛坯！随心装修！位于中上楼层，南向采光不错,2室1厅 | 89.69平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,97,"10,816元/平"
181,纯纯毛坯！随心装修！位于中上楼层，南向采光不错,2室1厅 | 89.69平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,97,"10,816元/平"
182,阳光花苑南北通透户型方正精装修全明户型,3室2厅 | 137.24平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,205,"14,938元/平"
183,圣菲城河景房 精装三房 大车位 拎包入住,3室2厅 | 88.69平米 | 西 北 | 精装 | 高楼层(共28层)  | 塔楼,182,"20,521元/平"
184,三环内 地铁近 优质通透大三房 三个大阳台 采光nice,3室2厅 | 129.17平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,107,"8,284元/平"
185,《贝壳优选》不临高架 25万高品质装修全屋地暖 带车位,3室1厅 | 85.71平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,128,"14,935元/平"
186,全明设计格局好，好楼层双阳台，精装修，拎包入住,3室2厅 | 120.73平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,130,"10,768元/平"
187,好楼层大三房 不临街不临路 双气精装修 拎包入住,3室2厅 | 109.66平米 | 南 | 精装 | 11层  | 板楼,99,"9,028元/平"
188,亚星望江居 3室2厅 南,3室2厅 | 102.29平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,125,"12,221元/平"
189,青年公园旁，怡丰新都汇，大三房，产权清,4室2厅 | 119.86平米 | 南 | 精装 | 34层  | 板塔结合,159,"13,266元/平"
190,一梯一户 碧桂园物业 标准地铁口，商都路通泰路地铁口,3室2厅 | 130.3平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,179,"13,738元/平"
191,精装3房，视野开阔，中间楼层，诚心出售,3室1厅 | 88.46平米 | 南 | 其他 | 26层  | 板塔结合,100,"11,305元/平"
192,金色嘉园两室户型业主诚心出售有房本,2室2厅 | 79.09平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,145,"18,334元/平"
193,一百多平大院子，精装婚房一二层复式，别墅般享受,4室2厅 | 185.12平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,286,"15,450元/平"
194,二楼，精装修，价位可谈，诚心出售，花园路 农业路,4室2厅 | 155.6平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,155,"9,962元/平"
195,天下城，通透四房，诚意卖，视野好,4室1厅 | 176.98平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,419,"23,675元/平"
196,满五唯一，精装修，好楼层，看房方便,3室2厅 | 102.87平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,120,"11,666元/平"
197,地铁口，南北通透满五唯一，无遮挡采光好。,3室2厅 | 152.76平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,186,"12,176元/平"
198,升龙天汇大户型 边户户型 哪都亮 人车分流 诚心卖,3室2厅 | 139.95平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,195,"13,934元/平"
199,精装修无贷款，次新双气小区，看房方便,4室2厅 | 140.62平米 | 西南 | 精装 | 中楼层(共31层)  | 板楼,239,"16,997元/平"
200,业主急售，一楼采光好，户型好，房子保养好,3室1厅 | 110.09平米 | 北 南 | 精装 | 低楼层(共18层)  | 板楼,128,"11,627元/平"
201,满五唯一，无抵押，带露台，高档配套完善，交通便利,3室2厅 | 144.06平米 | 东 西 | 精装 | 低楼层(共11层)  | 塔楼,242,"16,799元/平"
202,姚寨路红专路 大社区 环境好 中间楼层 有车库,3室1厅 | 167.84平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,147,"8,759元/平"
203,格局好小高层公摊小交通便利唯一一套总高5层的房子,3室1厅 | 87.42平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,139,"15,901元/平"
204,工人路186号院观澜小区 标准双气3房 全明户型 带阳台,3室1厅 | 81.42平米 | 东 | 简装 | 中楼层(共30层)  | 板楼,95,"11,668元/平"
205,燕庄地铁 标准2房 出行方便 紫荆山公园600米,2室1厅 | 58.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,46,"7,891元/平"
206,桐柏路地铁口 一中家属院 三室 双气中楼层 总价低,3室2厅 | 98.55平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,149.8,"15,201元/平"
207,金水区、中州大道旁多层电梯洋房、一梯两户、拎包入住,4室2厅 | 142.11平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,145,"10,204元/平"
208,鑫苑鑫城  现代风格精装修 小两居 看房方便 拎包入住,2室2厅 | 74.57平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,132,"17,702元/平"
209,紫荆山路航海路 精装1室 户型比较不错 多层中间楼层,1室1厅 | 45.45平米 | 西 | 精装 | 中楼层(共6层)  | 板楼,62,"13,642元/平"
210,正弘数码港精装1室，业主急售！,1室1厅 | 37.71平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,16,"4,243元/平"
211,地铁口，70年产权，一层4户，满五年,1室0厅 | 23.17平米 | 北 | 简装 | 中楼层(共6层)  | 板楼,18.5,"7,985元/平"
212,中原路地铁口 大溪地一号院南院 看房方便 两室急售,2室1厅 | 89.33平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,50,"5,598元/平"
213,文化绿城旁，二楼南户一室一厅，70年产权，双气社区,1室1厅 | 40.15平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,34.9,"8,693元/平"
214,满五唯一 陇海路5号线地铁口精装修,1室0厅 | 36.57平米 | 北 | 精装 | 高楼层(共33层)  | 塔楼,38,"10,392元/平"
215,名门郡景   精装修  随时看房   采光好   好楼层,3室2厅 | 88.59平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,58,"6,548元/平"
216,业主急售中间楼层正常税费看房方便,2室2厅 | 92.01平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,95,"10,325元/平"
217,金二环蓝钻戏  满五唯一 临河观景前后无遮挡,2室1厅 | 82.97平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,122,"14,705元/平"
218,地铁1号线2号线紫荆山站出门就是紫荆山公园看房方便,4室2厅 | 178.85平米 | 南 北 | 其他 | 高楼层(共24层)  | 板塔结合,350,"19,570元/平"
219,好楼层 纯南小三房 满五 诚心出售 看房方便 随时可看,3室2厅 | 85.11平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,105,"12,337元/平"
220,满五精装修 大三房 随时可看 诚心出售,3室2厅 | 139.18平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,85,"6,108元/平"
221,大三室，没怎么住，无抵押，交易快,3室2厅 | 92.11平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,59,"6,406元/平"
222,国宾中心 3室2厅 南,3室2厅 | 91.5平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,130,"14,208元/平"
223,陇海路紫荆山路 陇海路地铁口三房 有20多平大露台,3室2厅 | 119.53平米 | 东南 | 简装 | 低楼层(共9层)  | 板楼,165,"13,805元/平"
224,文化路86号 1室1厅 南,1室1厅 | 37.8平米 | 南 | 简装 | 高楼层(共4层)  | 板楼,99,"26,191元/平"
225,双气两房 全明户型 业主急售  大两房,2室1厅 | 89.45平米 | 西 | 简装 | 中楼层(共22层)  | 塔楼,80,"8,944元/平"
226,中州大道旁单位家属院  满五 得房率高 小区干净安静,3室2厅 | 124.31平米 | 北 南 | 其他 | 中楼层(共6层)  | 塔楼,109,"8,769元/平"
227,逸品香山顶复三房，精装修随时可看,4室2厅 | 85.18平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,127,"14,910元/平"
228,南北双露台，房子满五唯一，边户全明户型，保持干净,3室2厅 | 116.87平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,128,"10,953元/平"
229,颖河50号急卖 陇海路地铁口 双气三房,3室1厅 | 83.87平米 | 东 西 | 简装 | 低楼层(共7层)  | 板楼,125,"14,905元/平"
230,多层三楼 双气简装 小区简单干净,1室1厅 | 43.44平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,22.5,"5,180元/平"
231,一楼精装小户型 业主急售 看房随时,2室1厅 | 39.88平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,29,"7,272元/平"
232,未来铭郡电梯大三室，业主诚心出售,3室2厅 | 121.66平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,80,"6,576元/平"
233,店长推荐，新上房源，诚心出售，自住装修拎包入住。,3室2厅 | 142.95平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,285,"19,938元/平"
234,此房户型方正，满五唯一，全屋定制，交通便利,3室2厅 | 87.81平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,73,"8,314元/平"
235,东区高品质小区 位置好 南北通透两居室 户型好,2室2厅 | 90.25平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,176,"19,502元/平"
236,电梯房，基础配套齐全，交通便利，双气社区，采光好,3室1厅 | 88.38平米 | 北 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,75,"8,487元/平"
237,地铁7号线口 满两年 精装 双气 中高楼层 业主急售,2室2厅 | 81.76平米 | 西北 | 精装 | 高楼层(共32层)  | 板塔结合,87,"10,641元/平"
238,美景三房 户型好 楼层好 小区环境舒适 业主诚心出售,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,137,"13,048元/平"
239,植物园旁  地铁口  新小区  人车分流  全款房过户快,3室1厅 | 106.24平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,70,"6,589元/平"
240,老郑大片区 交通新苑 双气小区 上57 碧沙岗公园旁,2室2厅 | 80.42平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,52,"6,467元/平"
241,大溪地九号院   不临中原路   精装好楼层   随时看房,3室2厅 | 107.55平米 | 东 | 精装 | 中楼层(共32层)  | 板楼,79,"7,346元/平"
242,山水生态城不临街不临路三房业主诚心出售,3室2厅 | 144.09平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,100,"6,941元/平"
243,户型南北通透，三卧朝南，次新小区，一梯一户，采光好,4室2厅 | 147.11平米 | 南 北 | 精装 | 低楼层(共16层)  | 塔楼,355,"24,132元/平"
244,精装修，满五不唯一， 诚心出售，全明户型 。,3室2厅 | 89.11平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,125,"14,028元/平"
245,此房满五不唯一，楼层低，产权清晰,3室2厅 | 99.78平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,103,"10,323元/平"
246,东区审计厅家属院 大5室 中间位置 带一个大车位,5室2厅 | 204.69平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,235,"11,481元/平"
247,淮河路淮北街通透三房，两卧朝南，业主诚心出售,3室2厅 | 94.94平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,63,"6,636元/平"
248,满五年唯一南北通透精装修业主诚心出售,3室1厅 | 88.65平米 | 南 西 北 | 精装 | 低楼层(共28层)  | 板塔结合,124.5,"14,044元/平"
249,一楼带院  建有33平方左右的房  满五唯一 没多余费用,3室1厅 | 38.76平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,32.8,"8,463元/平"
250,保利尚园精装三房住宅，契税3月份满两年，税费低,3室2厅 | 89.8平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,155,"17,261元/平"
251,次新小区 人车分流，集中供暖 距离花寨地铁出口，,3室2厅 | 118.73平米 | 南 | 简装 | 低楼层(共27层)  | 平房,165,"13,898元/平"
252,诚 售翰林国际孟园大三房业主诚 心出 售,3室1厅 | 105.71平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,146,"13,812元/平"
253,荥阳首 个加装电梯的小区，双气，物业负责，,4室2厅 | 169.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,59,"3,478元/平"
254,裕华美欣 3室2厅 南 北,3室2厅 | 95.21平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,75,"7,878元/平"
255,业主是抗美援朝革命军人  希望好的房子有个美好的传承,2室2厅 | 87.94平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,41.5,"4,720元/平"
256,大三房，南北通透，精装修，中 央 空调，电子门锁,3室1厅 | 89.42平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,130,"14,539元/平"
257,精装双气，加10平方，前排不临高铁,4室1厅 | 123.34平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,137.8,"11,173元/平"
258,普罗旺世多层住宅 通透格局 满五唯一 公摊小 诚心出售,3室2厅 | 90.52平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,119.99,"13,256元/平"
259,果岭二期心屿大三房110平方，仅售75万，有钥匙，,3室2厅 | 110.18平米 | 东 南 | 毛坯 | 中楼层(共6层)  | 板楼,75,"6,808元/平"
260,纬三路文化路 低楼层三房 布局合理,3室1厅 | 70.72平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,46,"6,505元/平"
261,业主诚心出售，满五不唯一，南北通透，双气，交通便利,3室2厅 | 126.58平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,115,"9,086元/平"
262,此房是双卫的大三房，户型好，楼层好。,3室2厅 | 118.55平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,139,"11,726元/平"
263,三环内，地铁口，2017年建成，毛坯三房出售,3室2厅 | 88.75平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,113,"12,733元/平"
264,西5 优质四室精装修  业主诚心出售 税满185万,4室2厅 | 163.17平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,185,"11,338元/平"
265,金科城二期 精装方正小三室 满两年 无抵押,3室2厅 | 88.43平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,168,"18,999元/平"
266,多层社区，环境好，大平层光线无遮挡，可带车库,4室2厅 | 176.15平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,225,"12,774元/平"
267,建业品质小三房 带车位 带储藏室 随时看房,3室1厅 | 90.73平米 | 南 北 | 简装 | 中楼层(共13层)  | 板塔结合,90,"9,920元/平"
268,郑东新区地铁口大四房，户型方正，阳台可打羽毛球,4室2厅 | 193.25平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,145,"7,504元/平"
269,东区 省府旁 两梯两户地铁口 精装修 看房方便,3室2厅 | 148.2平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,268,"18,084元/平"
270,小区环境好，房子采光好，价格优,3室1厅 | 88.41平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,49,"5,543元/平"
271,经开区，宏光合园，户型合理，双气小区距离地铁口近,3室1厅 | 115.46平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,106,"9,181元/平"
272,房子多层3楼，大两房，看房方便,2室2厅 | 85.89平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,75,"8,733元/平"
273,央企保利 南北通透  精装修 近地铁 业主诚心出售,3室2厅 | 87.52平米 | 南 北 西 | 精装 | 高楼层(共33层)  | 板楼,130.8,"14,946元/平"
274,文化路 文化公园旁  满五唯一  上学不过路,2室2厅 | 84.93平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,75,"8,831元/平"
275,大3房 地铁口 人车分流绿化高配套全 业主急,3室1厅 | 82.47平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,73.6,"8,925元/平"
276,恒大精装 89平小三房 契税满二 通透 餐客一体,3室2厅 | 89.99平米 | 东南 | 精装 | 高楼层(共26层)  | 板楼,119,"13,224元/平"
277,汇鑫小区三房，多层二楼，满五唯一，随时看房有钥匙,3室2厅 | 115.59平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,116,"10,036元/平"
278,难得的好房子，此房视野宽阔，采光充足,3室1厅 | 194.55平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,139,"7,145元/平"
279,满五唯一，税费低，配套齐全，交通便利,3室2厅 | 117.86平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,62,"5,261元/平"
280,主城地铁口  精装小三房    业主诚心出售,3室2厅 | 88.75平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,105,"11,831元/平"
281,精装修小三房业主诚心出售随时看房。,3室2厅 | 94.11平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,88,"9,351元/平"
282,亚星家园电梯3房，户型方正，单价1.1。看房方便，,3室2厅 | 138.71平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,152,"10,959元/平"
283,北环旁14年双气双卫大三居  采光好 视野宽阔 精装修,3室2厅 | 143.1平米 | 南 | 精装 | 34层  | 板塔结合,163,"11,391元/平"
284,奥兰花园毛坯小三房，视野好采光好，有车位地下室,3室2厅 | 89.37平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,216,"24,170元/平"
285,城市山水大三房 大落地窗 采光好。楼层好.户型方正,3室2厅 | 132.12平米 | 南 东 | 精装 | 中楼层(共28层)  | 板塔结合,161.8,"12,247元/平"
286,房子是精装修的三室，客厅很大，双气电梯洋房,3室2厅 | 138.32平米 | 西南 | 精装 | 高楼层(共11层)  | 板楼,66,"4,772元/平"
287,小区环境优美，户型合理，采光好，精装修,3室1厅 | 95.4平米 | 北 南 | 精装 | 高楼层(共34层)  | 塔楼,156,"16,353元/平"
288,此房楼层低，适合老人居住，业主诚心卖,3室2厅 | 94.82平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,99,"10,441元/平"
289,精装大三房 南北通透 中间楼层 低税费,3室2厅 | 123.65平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,135,"10,918元/平"
290,建业品质小三房 带车位 带储藏室 随时看房,3室1厅 | 90.73平米 | 南 北 | 简装 | 中楼层(共13层)  | 板塔结合,90,"9,920元/平"
291,格局合理，居住舒适，价格合理，小区环境优美,5室1厅 | 181.57平米 | 东 东南 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,106,"5,838元/平"
292,北环双气 人车分流次新小区 精装修诚心出售,2室2厅 | 86.2平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,114,"13,226元/平"
293,金科城二期 精装方正小三室 满两年 无抵押,3室2厅 | 88.43平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,168,"18,999元/平"
294,多层社区，环境好，大平层光线无遮挡，可带车库,4室2厅 | 176.15平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,225,"12,774元/平"
295,绿都紫荆华庭和园 3室2厅 南,3室2厅 | 89.8平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,119,"13,252元/平"
296,此房三卧朝南 户型方正 视野宽阔 采光好 楼层好,3室2厅 | 105.54平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,119,"11,276元/平"
297,全款房过户快，满五不唯一，有个小露台,3室2厅 | 124.28平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板塔结合,85,"6,840元/平"
298,绿地开发，小区环境好，户型方正，业主诚心卖房,3室2厅 | 89.6平米 | 东南 | 简装 | 高楼层(共32层)  | 板楼,90,"10,045元/平"
299,奥体旁 植物园 109平 户型通透 中等楼层 采光通风好,3室2厅 | 109.08平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,95,"8,710元/平"
300,满五唯一.格局好，配套设施齐全，交通便利,3室2厅 | 116.41平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,76,"6,529元/平"
